,realization_spec_file_name,original_spec_file_name,FeH,err_FeH,logg,alpha,Teff,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo
53,spec-0309-51994-0496g001.dat_000,spec-0309-51994-0496g001.dat,,,,,,11.227948,2.524746,12.453796,2.2583029999999997,10.417808,2.492997,11.28284,1.942852,2.129002,0.708519
54,spec-0309-51994-0496g003.dat_000,spec-0309-51994-0496g003.dat,,,,,,7.591023,3.046376,6.136114,3.191964,6.912861,1.74213,8.560872,1.8909189999999998,2.903871,1.074093
55,spec-0312-51689-0391g001.dat_000,spec-0312-51689-0391g001.dat,,,,,,8.731716,2.9370950000000002,8.735298,6.22145,9.981479,3.748479,9.949535000000001,3.0788900000000003,3.574556,1.347607
56,spec-0312-51689-0391g002.dat_000,spec-0312-51689-0391g002.dat,,,,,,6.965166,2.664324,7.22629,3.0653759999999997,7.615978,2.2213540000000003,10.695339,2.990108,3.8758019999999997,1.2220950000000002
57,spec-0312-51689-0391g003.dat_000,spec-0312-51689-0391g003.dat,,,,,,10.597146,3.0977509999999997,10.579908,4.1127,8.6216,2.517425,14.287347,3.950736,4.986751,2.719205
58,spec-0313-51673-0132g001.dat_000,spec-0313-51673-0132g001.dat,,,,,,8.445033,1.747166,8.320449,3.1679720000000002,8.747681,2.316661,9.689574,2.9530950000000002,2.2724599999999997,0.79246
59,spec-0315-51663-0040g001.dat_000,spec-0315-51663-0040g001.dat,,,,,,10.399474,3.6943129999999997,10.880877,3.204195,10.025681,2.9997409999999998,11.976242999999998,3.6458440000000003,2.807629,1.806641
60,spec-0323-51615-0099g001.dat_000,spec-0323-51615-0099g001.dat,,,,,,6.373476999999999,2.003809,8.191436999999999,2.2251380000000003,6.984749000000001,1.533519,9.826139,2.911993,2.301663,1.838009
61,spec-0323-51615-0099g002.dat_000,spec-0323-51615-0099g002.dat,,,,,,5.7221459999999995,1.8538419999999998,7.77833,2.00691,7.157942,2.595543,8.020956,2.762346,1.8608040000000001,1.5146709999999999
62,spec-0323-51615-0243g001.dat_000,spec-0323-51615-0243g001.dat,,,,,,5.125589,1.844023,5.825086,2.081306,0.024478,inf,5.929915,3.205469,4.958456,2.9665529999999998
63,,,,,,,,,,,,,,,,,
64,spec-0323-51615-0289g001.dat_000,spec-0323-51615-0289g001.dat,,,,,,4.111919,1.5889149999999999,4.91843,2.156929,4.157442,1.4784110000000001,4.631007,1.859366,3.7052709999999998,1.097345
65,spec-0326-52375-0102g001.dat_000,spec-0326-52375-0102g001.dat,,,,,,8.187988,2.473608,8.713094,6.871643,10.446152,2.724365,11.213463,3.102521,2.507162,1.308648
66,spec-0326-52375-0102g002.dat_000,spec-0326-52375-0102g002.dat,,,,,,6.96443,2.517373,9.082916,2.525032,7.705700999999999,2.150589,10.576405000000001,3.4312940000000003,0.032554,41322865.360793
67,spec-0327-52294-0220g001.dat_000,spec-0327-52294-0220g001.dat,,,,,,3.453037,1.322258,4.0731160000000015,1.140583,4.533308,1.436276,6.117485,1.7391759999999998,4.404012000000002,0.894582
68,spec-0328-52282-0265g001.dat_000,spec-0328-52282-0265g001.dat,,,,,,8.452910000000001,2.668319,10.263213,2.520477,9.894862,2.29137,10.472557,2.185763,2.6494869999999997,0.773153
69,spec-0328-52282-0265g004.dat_000,spec-0328-52282-0265g004.dat,,,,,,10.950467,2.7791930000000002,12.208998,2.242238,11.21176,2.2608740000000003,12.980042999999998,2.84617,2.412927,0.618527
70,spec-0328-52282-0330g001.dat_000,spec-0328-52282-0330g001.dat,,,,,,4.1369370000000005,2.344928,4.177651,1.734246,3.891165,1.1064120000000002,7.0224100000000025,2.880923,4.287674,1.705688
71,spec-0328-52282-0330g002.dat_000,spec-0328-52282-0330g002.dat,,,,,,5.667425,2.001341,5.283188,2.247702,6.722263000000001,2.491962,7.7406,2.8212509999999997,3.107135,1.288424
72,spec-0328-52282-0330g003.dat_000,spec-0328-52282-0330g003.dat,,,,,,6.704791999999999,2.0607830000000003,6.548453,2.040351,7.326111,2.198946,7.824307000000001,2.44545,2.9191599999999998,1.016161
73,spec-0328-52282-0330g004.dat_000,spec-0328-52282-0330g004.dat,,,,,,4.5138370000000005,1.7738479999999999,4.454917,1.595641,4.526117,1.825433,5.9349110000000005,1.782745,4.832862,1.413281
74,spec-0328-52282-0376g001.dat_000,spec-0328-52282-0376g001.dat,,,,,,8.271164,2.340621,8.036178,2.7334110000000003,7.993760000000001,1.865749,9.621302,2.373068,2.390636,0.7283430000000001
75,spec-0328-52282-0376g002.dat_000,spec-0328-52282-0376g002.dat,,,,,,6.931210000000001,1.755005,7.3377630000000025,2.04575,7.2146339999999975,2.227868,7.301053,2.2356830000000003,2.4326209999999997,0.497166
76,spec-0328-52282-0376g003.dat_000,spec-0328-52282-0376g003.dat,,,,,,6.691866,1.5393299999999999,7.902216,2.091059,15.271207999999998,5.174076,6.684255,2.7861990000000003,3.654754,1.429416
