,wavel,flux_flag_1
493,4600.0,False
494,4601.4,False
495,4602.8,False
496,4604.2,False
497,4605.6,False
498,4607.0,False
499,4608.4,False
500,4609.8,False
501,4611.2,False
502,4612.6,False
503,4614.0,False
504,4615.4,False
505,4616.8,False
506,4618.2,False
507,4619.6,False
508,4621.0,False
509,4622.4,False
510,4623.8,False
511,4625.2,False
512,4626.6,False
513,4628.0,False
514,4629.4,False
515,4630.8,False
516,4632.2,False
517,4633.6,False
518,4635.0,False
519,4636.4,False
520,4637.8,False
521,4639.2,False
522,4640.6,False
523,4642.0,False
524,4643.4,False
525,4644.8,False
526,4646.2,False
527,4647.6,False
528,4649.0,False
529,4650.4,False
530,4651.8,False
531,4653.2,False
532,4654.6,False
533,4656.0,False
534,4657.4,False
535,4658.8,False
536,4660.2,False
537,4661.6,False
538,4663.0,False
539,4664.4,False
540,4665.8,False
541,4667.2,False
542,4668.6,False
543,4670.0,False
544,4671.4,False
545,4672.8,False
546,4674.2,False
547,4675.6,False
548,4677.0,False
549,4678.4,False
550,4679.8,False
551,4681.2,False
552,4682.6,False
553,4684.0,False
554,4685.4,False
555,4686.8,False
556,4688.2,False
557,4689.6,False
558,4691.0,False
559,4692.4,False
560,4693.8,False
561,4695.2,False
562,4696.6,False
563,4698.0,False
564,4699.4,False
565,4700.8,False
566,4702.2,False
567,4703.6,False
568,4705.0,False
569,4706.4,False
570,4707.8,False
571,4709.2,False
572,4710.6,False
573,4712.0,False
574,4713.4,False
575,4714.8,False
576,4716.2,False
577,4717.6,False
578,4719.0,False
579,4720.4,False
580,4721.8,False
581,4723.2,False
582,4724.6,False
583,4726.0,False
584,4727.4,False
585,4728.8,False
586,4730.2,False
587,4731.6,False
588,4733.0,False
589,4734.4,False
590,4735.8,False
591,4737.2,False
592,4738.6,False
593,4740.0,False
594,4741.4,False
595,4742.8,False
596,4744.2,False
597,4745.6,False
598,4747.0,False
599,4748.4,False
600,4749.8,False
601,4751.2,False
602,4752.6,False
603,4754.0,False
604,4755.4,False
605,4756.8,False
606,4758.2,False
607,4759.6,False
608,4761.0,False
609,4762.4,False
610,4763.8,False
611,4765.2,False
612,4766.6,False
613,4768.0,False
614,4769.4,False
615,4770.8,False
616,4772.2,False
617,4773.6,False
618,4775.0,False
619,4776.4,False
620,4777.8,False
621,4779.2,False
622,4780.6,False
623,4782.0,False
624,4783.4,False
625,4784.8,False
626,4786.2,False
627,4787.6,False
628,4789.0,False
629,4790.4,False
630,4791.8,False
631,4793.2,False
632,4794.6,False
633,4796.0,False
634,4797.4,False
635,4798.8,False
636,4800.2,False
637,4801.6,False
638,4803.0,False
639,4804.4,False
640,4805.8,False
641,4807.2,False
642,4808.6,False
643,4810.0,False
644,4811.4,False
645,4812.8,False
646,4814.2,False
647,4815.6,False
648,4817.0,False
649,4818.4,False
650,4819.8,False
651,4821.2,False
652,4822.6,False
653,4824.0,False
654,4825.4,False
655,4826.8,False
656,4828.2,False
657,4829.6,False
658,4831.0,False
659,4832.4,False
660,4833.8,False
661,4835.2,False
662,4836.6,False
663,4838.0,False
664,4839.4,False
665,4840.8,False
666,4842.2,False
667,4843.6,False
668,4845.0,False
669,4846.4,False
670,4847.8,False
671,4849.2,False
672,4850.6,False
673,4852.0,False
674,4853.4,False
675,4854.8,False
676,4856.2,False
677,4857.6,False
678,4859.0,False
679,4860.4,False
680,4861.8,False
681,4863.2,False
682,4864.6,False
683,4866.0,False
684,4867.4,False
685,4868.8,False
686,4870.2,False
687,4871.6,False
688,4873.0,False
689,4874.4,False
690,4875.8,False
691,4877.2,False
692,4878.6,False
693,4880.0,False
694,4881.4,False
695,4882.8,False
696,4884.2,False
697,4885.6,False
698,4887.0,False
699,4888.4,False
700,4889.8,False
701,4891.2,False
702,4892.6,False
703,4894.0,False
704,4895.4,False
705,4896.8,False
706,4898.2,False
707,4899.6,False
708,4901.0,False
709,4902.4,False
710,4903.8,False
711,4905.2,False
712,4906.6,False
713,4908.0,False
714,4909.4,False
715,4910.8,False
716,4912.2,False
717,4913.6,False
718,4915.0,False
719,4916.4,False
720,4917.8,False
721,4919.2,False
722,4920.6,False
723,4922.0,False
724,4923.4,False
725,4924.8,False
726,4926.2,False
727,4927.6,False
728,4929.0,False
729,4930.4,False
730,4931.8,False
731,4933.2,False
732,4934.6,False
733,4936.0,False
734,4937.4,False
735,4938.8,False
736,4940.2,False
737,4941.6,False
738,4943.0,False
739,4944.4,False
740,4945.8,False
741,4947.2,False
742,4948.6,False
743,4950.0,False
744,4951.4,False
745,4952.8,False
746,4954.2,False
747,4955.6,False
748,4957.0,False
749,4958.4,False
750,4959.8,False
751,4961.2,False
752,4962.6,False
753,4964.0,False
754,4965.4,False
755,4966.8,False
756,4968.2,False
757,4969.6,False
758,4971.0,False
759,4972.4,False
760,4973.8,False
761,4975.2,False
762,4976.6,False
763,4978.0,False
764,4979.4,False
765,4980.8,False
766,4982.2,False
767,4983.6,False
768,4985.0,False
769,4986.4,False
770,4987.8,False
771,4989.2,False
772,4990.6,False
773,4992.0,False
774,4993.4,False
775,4994.8,False
776,4996.2,False
777,4997.6,False
778,4999.0,False
