BJD,Magnitude,Uncertainty
2453174.89891359,10.945,
2453174.900313544,10.862,
2453174.901743497,10.818,
2453174.90315345,10.75,
2453174.904563404,10.66,
2453174.909073255,10.446,
2453174.910503207,10.379000000000001,
2453174.911903161,10.325,
2453174.9133331142,10.265,
2453174.914733068,10.221,
2453174.916133021,10.158,
2453174.917562974,10.113999999999999,
2453174.9189729267,10.073,
2453174.92038288,10.044,
2453174.921792834,10.006,
2453174.9232127867,9.981,
2453174.92463274,9.972999999999999,
2453174.926032693,9.95,
2453174.927442647,9.955,
2453174.9288526,9.964,
2453174.930272553,9.946,
2453174.932452481,9.967,
2453174.933882433,9.971,
2453174.935292387,9.985,
2453174.93670234,9.975,
2453174.938112293,9.988,
2453174.939522246,10.008,
2453174.940942199,10.017999999999999,
2453174.942352152,10.029,
2453174.943752106,10.012,
2453174.945182058,10.033999999999999,
2453174.946552014,10.062999999999999,
2453174.947991965,10.055,
2453174.949411918,10.077,
2453174.950831871,10.076,
2453174.952241824,10.094,
2453174.953661778,10.091000000000001,
2453174.955071731,10.119,
2453174.956471684,10.12,
2453174.957891637,10.142000000000001,
2453174.95930159,10.157,
2453174.960721543,10.161,
2453174.962121496,10.171,
2453174.96354145,10.176,
2453174.964951403,10.193,
2453189.437342395,11.04,
2453189.437542385,11.03,
2453237.299931269,9.98,
2453261.25154279,10.95,
2453261.251742776,10.94,
2453491.856011942,9.974,
2453496.81431744,11.261,
2453498.82372963,10.802,
2453500.902847917,11.24,
2453504.804855027,11.030999999999999,
2453509.599318438,10.35,0.01
2453509.600318446,10.32,0.01
2453509.601318453,10.26,0.01
2453509.60231846,10.23,0.01
2453509.603318467,10.18,0.01
2453509.604418475,10.14,0.01
2453509.605418482,10.13,0.01
2453509.606418489,10.06,0.01
2453509.607418496,10.04,0.01
2453509.6084185033,10.02,0.01
2453509.60941851,10.0,0.01
2453509.610418518,9.97,0.01
2453509.611518526,9.96,0.01
2453509.6125185317,9.95,0.01
2453509.613518539,9.93,0.01
2453509.614518546,9.94,0.01
2453509.615518554,9.92,0.01
2453509.616618561,9.93,0.01
2453509.617618569,9.92,0.01
2453509.618618576,9.9,0.01
2453509.619618583,9.91,0.01
2453509.62061859,9.92,0.01
2453509.621718598,9.92,0.01
2453509.622718605,9.93,0.01
2453509.623718611,9.91,0.01
2453509.624718619,9.92,0.01
2453509.6257186257,9.95,0.01
2453509.626818634,9.93,0.01
2453509.62781864,9.96,0.01
2453509.628818647,9.96,0.01
2453509.629818655,9.96,0.01
2453509.630918663,9.97,0.01
2453509.631918669,9.98,0.01
2453509.632918676,9.98,0.01
2453509.633918683,9.99,0.01
2453509.63491869,10.01,0.01
2453509.635918697,10.0,0.01
2453509.636918704,10.01,0.01
2453509.6379187107,10.0,0.01
2453509.639018719,10.02,0.01
2453509.640018726,10.03,0.01
2453509.641018732,10.04,0.01
2453509.64201874,10.06,0.01
2453509.6430187467,10.07,0.01
2453509.644018753,10.07,0.01
2453509.645118761,10.07,0.01
2453509.646118768,10.07,0.01
2453509.647118776,10.09,0.01
2453509.648118782,10.09,0.01
2453509.649118789,10.12,0.01
2453509.650118796,10.1,0.01
2453509.651218804,10.12,0.01
2453509.65221881,10.12,0.01
2453509.653218817,10.15,0.01
2453509.654218825,10.15,0.01
2453509.655218831,10.15,0.01
2453509.656218838,10.16,0.01
2453509.657318846,10.17,0.01
2453509.658318853,10.18,0.01
2453509.659318859,10.19,0.01
2453509.6604188667,10.19,0.01
2453509.6614188743,10.2,0.01
2453509.66241888,10.22,0.01
2453509.663418888,10.22,0.01
2453509.664418894,10.22,0.01
2453509.665418901,10.24,0.01
2453509.666518908,10.23,0.01
2453509.667518916,10.25,0.01
2453509.668518923,10.26,0.01
2453509.669518929,10.26,0.01
2453509.670518936,10.26,0.01
2453509.671618944,10.27,0.01
2453509.67261895,10.29,0.01
2453509.673718958,10.29,0.01
2453509.674718964,10.29,0.01
2453509.675718972,10.31,0.01
2453509.676718978,10.31,0.01
2453509.677818986,10.32,0.01
2453509.678818992,10.32,0.01
2453509.679818999,10.33,0.01
2453509.6808190057,10.34,0.01
2453510.7180944793,11.008,
2453511.7286384683,11.185,
2453512.744741166,11.257,
2453522.704377839,11.177999999999999,
2453524.9194109933,11.202,
2453528.682531394,11.27,
2453531.677491319,11.052999999999999,
2453534.679980094,10.05,
2453534.7207390633,10.366,
2453536.716595631,11.127,
2453539.703636917,10.15,
2453546.752177388,11.174000000000001,
2453549.8051124,10.722000000000001,
2453556.667016314,10.859000000000002,
2453557.394099859,11.033,0.03
2453557.395799776,11.008,0.045
2453557.397399697,10.955,0.019
2453557.399599589,10.894,0.035
2453557.4016994857,10.807,0.023
2453557.403799383,10.731,0.031
2453557.405999275,10.617,0.022000000000000002
2453557.4080991717,10.497,0.038
2453557.410199069,10.421,0.031
2453557.4122989657,10.343,0.05
2453557.414498859,10.264000000000001,0.044000000000000004
2453557.416598755,10.181000000000001,0.035
2453557.419698603,10.059,0.028999999999999998
2453557.421298525,10.005,0.04
2453557.423498417,9.961,0.042
2453557.425598314,9.948,0.03
2453557.427698211,9.929,0.036000000000000004
2453557.429798108,9.932,0.021
2453557.431998,9.911,0.04
2453557.434097897,9.942,0.025
2453557.436197794,9.922,0.03
2453557.438297691,9.969,0.027000000000000003
2453557.4404975832,9.946,0.015
2453557.444297397,9.982999999999999,0.028999999999999998
2453557.4463972943,9.994,0.026000000000000002
2453557.448497191,9.992,0.044000000000000004
2453557.450697083,10.047,0.021
2453557.452796979,10.06,0.027999999999999997
2453557.454896877,10.068,0.037000000000000005
2453557.457096769,10.087,0.034
2453557.459196665,10.1,0.03
2453557.461296562,10.109,0.026000000000000002
2453557.463396459,10.138,0.03
2453564.702548834,10.172,
2453564.709768421,9.966000000000001,
2453564.713868187,9.939,
