BJD,Magnitude,Uncertainty
2453718.643855938,9.298,0.005
2453718.644455885,9.29,0.005
2453718.6450558333,9.276,0.005
2453718.645755772,9.269,0.005
2453718.646355719,9.258,0.005
2453718.646955667,9.249,0.005
2453718.647655605,9.24,0.005
2453718.648255553,9.236,0.005
2453718.6488555,9.225,0.005
2453718.649555439,9.224,0.005
2453718.650155387,9.209,0.005
2453718.650855325,9.209,0.005
2453718.651455273,9.206,0.005
2453718.652055221,9.199,0.005
2453718.652755159,9.191,0.005
2453718.653355106,9.19,0.005
2453718.653955054,9.187999999999999,0.005
2453718.654654993,9.18,0.005
2453718.65525494,9.181000000000001,0.005
2453718.6558548883,9.175,0.005
2453718.656554827,9.166,0.005
2453718.6571547743,9.163,0.005
2453718.657754722,9.173,0.005
2453718.65845466,9.165,0.005
2453718.659054608,9.158999999999999,0.005
2453718.659654555,9.164,0.005
2453718.660354494,9.161,0.005
2453718.660954441,9.161,0.005
2453718.661554389,9.158999999999999,0.005
2453718.662254327,9.162,0.005
2453718.662854275,9.163,0.005
2453718.663554213,9.163,0.005
2453718.664154161,9.164,0.005
2453718.664754109,9.162,0.005
2453718.665454047,9.158,0.005
2453718.666053995,9.165,0.005
2453718.666653942,9.164,0.005
2453718.667353881,9.162,0.005
2453718.6679538283,9.165,0.005
2453718.668553776,9.181000000000001,0.005
2453718.669253714,9.169,0.005
2453718.6698536617,9.179,0.005
2453718.670453609,9.187999999999999,0.005
2453718.671153547,9.18,0.005
2453718.671753495,9.183,0.005
2453718.672353442,9.177,0.005
2453718.673053381,9.183,0.005
2453718.6736533283,9.187999999999999,0.005
2453718.674353267,9.193999999999999,0.005
2453718.674953214,9.202,0.005
2453718.6755531617,9.19,0.005
2453718.6762531,9.192,0.005
2453718.676853048,9.205,0.005
2453718.677452995,9.193999999999999,0.005
2453718.678152934,9.2,0.005
2453718.678752881,9.212,0.005
2453718.6793528283,9.206,0.005
2453718.680052767,9.211,0.005
2453718.680652714,9.218,0.005
2453718.681252662,9.217,0.005
2453718.6819526,9.222999999999999,0.005
2453718.682552548,9.23,0.005
2453718.683252486,9.231,0.005
2453718.683852434,9.229,0.005
2453718.684452381,9.247,0.005
2453718.6851523193,9.238,0.005
2453718.685752267,9.244,0.005
2453718.686352214,9.248,0.005
2453718.687052153,9.25,0.005
2453718.6876521,9.25,0.005
2453718.6882520467,9.251,0.005
2453718.688951985,9.261000000000001,0.005
2453718.689551933,9.264,0.005
2453718.69015188,9.263,0.005
2453718.6908518192,9.267000000000001,0.005
2453718.691451766,9.264,0.005
2453718.6920517143,9.27,0.005
2453718.692751652,9.27,0.005
2453718.693351599,9.272,0.005
2453718.694051538,9.28,0.005
2453718.694651485,9.282,0.005
2453718.695251432,9.281,0.005
2453718.695951371,9.288,0.005
2453718.6965513183,9.295,0.005
2453718.697151266,9.302999999999999,0.005
2453718.697851204,9.302999999999999,0.005
2453718.698451151,9.302,0.005
2453718.699051098,9.306000000000001,0.005
2453718.6997510367,9.305,0.005
2453718.700350984,9.31,0.005
2453718.7009509318,9.317,0.005
2453718.70165087,9.318,0.005
2453718.702250817,9.322000000000001,0.005
2453718.702850765,9.323,0.005
2453718.703550703,9.317,0.005
2453718.704150651,9.331,0.005
2453718.704850588,9.331,0.005
