BJD,Magnitude,Uncertainty
2454001.637909246,9.515,0.004
2454001.638709234,9.521,0.004
2454001.639509222,9.514,0.004
2454001.64030921,9.52,0.004
2454001.641109197,9.519,0.004
2454001.641909185,9.525,0.004
2454001.6427091733,9.533999999999999,0.004
2454001.6435091607,9.532,0.004
2454001.644309149,9.526,0.004
2454001.645109137,9.53,0.004
2454001.645909125,9.531,0.004
2454001.646709112,9.538,0.004
2454001.6475091,9.541,0.004
2454001.6483090883,9.538,0.004
2454001.649109076,9.539,0.004
2454001.6499090632,9.548,0.004
2454001.6507090507,9.549,0.004
2454001.651509039,9.546,0.004
2454001.652309027,9.547,0.004
2454001.653109014,9.555,0.004
2454001.653909002,9.56,0.004
2454001.65470899,9.565,0.004
2454001.655508977,9.566,0.004
2454001.656308965,9.561,0.004
2454001.657108953,9.581,0.004
2454001.657908941,9.574,0.004
2454001.658708929,9.578,0.004
2454001.659508917,9.576,0.004
2454001.660308904,9.589,0.004
2454001.661108891,9.576,0.004
2454001.661908879,9.585,0.004
2454001.662708867,9.59,0.004
2454001.663508855,9.591000000000001,0.004
2454001.664308842,9.596,0.004
2454001.66510883,9.584,0.004
2454001.665908818,9.594,0.004
2454001.666708806,9.602,0.004
2454001.667508793,9.603,0.004
2454001.668308781,9.602,0.004
2454001.669108768,9.606,0.004
2454001.669908756,9.607999999999999,0.004
2454001.670708743,9.609,0.004
2454001.671508731,9.607999999999999,0.004
2454001.6723087193,9.617,0.004
2454001.673108706,9.609,0.004
2454001.673908694,9.617,0.004
2454001.6747086816,9.62,0.004
2454001.67550867,9.62,0.004
2454001.676308657,9.624,0.004
2454001.677108645,9.629,0.004
2454001.677908632,9.631,0.004
2454001.67870862,9.624,0.004
2454001.679508607,9.642999999999999,0.004
2454001.680308595,9.64,0.004
2454001.681108582,9.638,0.004
2454001.68190857,9.646,0.004
2454001.682708558,9.65,0.004
2454001.683508545,9.649,0.004
2454001.684308533,9.645,0.004
2454001.68510852,9.66,0.004
2454001.685908508,9.655,0.004
2454001.686708495,9.661,0.004
2454001.687508483,9.655,0.004
2454001.68830847,9.658,0.004
2454001.6891084583,9.66,0.004
2454001.689908446,9.658,0.004
2454001.6907084333,9.666,0.004
2454001.69150842,9.67,0.004
2454001.692308408,9.674,0.004
2454001.693108395,9.673,0.004
2454001.693908383,9.679,0.004
2454001.69470837,9.679,0.004
2454001.695508358,9.677,0.004
2454001.696408344,9.687000000000001,0.004
2454001.697208331,9.701,0.004
2454001.698008318,9.675,0.004
2454001.698808306,9.687999999999999,0.004
2454001.699508295,9.695,0.004
2454001.700308282,9.691,0.004
2454001.70110827,9.697000000000001,0.004
2454001.701908257,9.692,0.004
2454001.702708245,9.698,0.004
2454001.703508232,9.698,0.004
2454001.70430822,9.702,0.004
2454001.7051082067,9.701,0.004
2454001.705908194,9.709,0.004
2454001.7067081816,9.708,0.004
2454001.707508169,9.708,0.004
2454001.708308157,9.715,0.004
2454001.709108144,9.716000000000001,0.004
2454001.709908131,9.714,0.004
2454001.710708119,9.705,0.004
2454001.711508106,9.709,0.004
2454001.712308093,9.722999999999999,0.004
2454001.71310808,9.717,0.004
2454001.713908068,9.72,0.004
2454001.714708055,9.729,0.004
2454001.7155080433,9.729,0.004
2454015.53114072,9.726,0.004
2454015.533540634,10.235,0.006
2454015.535840551,10.245,0.006
2454015.5381404683,10.237,0.006
2454015.540540381,10.243,0.006
2454015.5428402983,10.242,0.006
2454015.5452402118,10.248,0.006
2454015.547540128,10.245999999999999,0.006
2454015.54974005,10.242,0.006
2454015.552139963,10.249,0.005
2454015.554439879,10.251,0.005
2454015.556839793,10.255,0.005
2454015.559139709,10.26,0.005
2454015.561439626,10.255,0.005
2454015.563839539,10.255,0.005
2454015.566139456,10.265999999999998,0.005
2454015.568539369,10.259,0.005
2454015.570139311,10.261,0.006999999999999999
2454015.572239235,10.259,0.006999999999999999
2454015.574239162,10.272,0.006999999999999999
2454015.575839105,10.267999999999999,0.006999999999999999
2454015.577439046,10.276,0.006999999999999999
2454015.5790389883,10.276,0.006999999999999999
2454015.58063893,10.265,0.006999999999999999
2454015.582238872,10.277000000000001,0.006999999999999999
2454015.584638785,10.270999999999999,0.006999999999999999
2454015.586238727,10.277000000000001,0.006
2454015.587838668,10.272,0.006
2454015.58943861,10.277999999999999,0.006
2454015.5910385516,10.279000000000002,0.006
2454015.592638494,10.274000000000001,0.006
2454015.594238435,10.27,0.006
2454015.595838377,10.28,0.006
2454015.597438319,10.282,0.006999999999999999
2454015.59903826,10.273,0.006
2454015.600638202,10.273,0.006
2454015.6022381443,10.274000000000001,0.006
2454015.603838085,10.274000000000001,0.006
2454015.605438027,10.265999999999998,0.006
2454015.607137965,10.261,0.006
2454015.608737906,10.259,0.006
2454015.6103378483,10.263,0.006
2454015.61273776,10.261,0.006
2454015.614337701,10.247,0.006
2454015.616037639,10.238,0.006
2454015.6176375807,10.238999999999999,0.006
2454015.6192375217,10.224,0.006
2454015.621237449,10.229,0.006
2454015.623237376,10.212,0.006
2454015.624837317,10.201,0.006
2454015.626437258,10.19,0.006
2454015.628037199,10.184,0.006
2454015.629637141,10.177999999999999,0.006
2454015.6312370817,10.16,0.006
2454015.632837023,10.152000000000001,0.006
2454015.634436964,10.129,0.006
2454015.636036905,10.121,0.006
2454015.637636847,10.102,0.006
2454015.6392367883,10.077,0.006
2454015.641636699,10.064,0.006
2454015.643236641,10.033,0.006
2454015.645736549,10.001,0.006
2454015.64733649,9.967,0.006
2454015.64893643,9.945,0.006
2454015.650536371,9.915,0.006
2454015.652136312,9.898,0.006
2454015.6537362533,9.867,0.006
2454015.655336194,9.841000000000001,0.006
2454015.656936135,9.826,0.006
2454015.658636073,9.817,0.006
2454015.660236014,9.81,0.006
2454015.661835954,9.81,0.006
2454015.663435895,9.802,0.006
2454015.665135832,9.794,0.006
2454015.667835732,9.8,0.006
2454015.669935654,9.786,0.006
2454015.672335565,9.773,0.006
2454015.673935506,9.762,0.006
2454015.675535446,9.749,0.006
2454015.677235384,9.731,0.006
2454015.678835324,9.725,0.006
2454015.68083525,9.714,0.006
2454015.6833351566,9.677,0.006
2454015.685335082,9.658999999999999,0.006
2454015.686935022,9.63,0.006
2454015.688534963,9.613,0.006
2454015.690134903,9.605,0.006
2454015.691734844,9.588,0.006
