obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56265.1773772,10.973,0.36800000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14767403000159,47.96714,-11.354032000000000,2083,4,56265.181687200000,1352,10.942,20.849000000000000,27.743000000000000,2.6500000000000000,21.964000000000000,0,29491204,0,1,14767403,1.3815140000000000,135.566205
56270.3350272,10.961,0.07400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14795902000177,47.96715,-11.354129000000000,2083,4,56270.339077200000,1357,10.821,21.148000000000000,27.999000000000000,2.5500000000000000,25.591000000000000,0,29491204,0,1,14795902,1.3815140000000000,135.566205
56270.3646572,10.828,0.07400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14795916000137,47.96715,-11.354105000000000,2083,4,56270.368707200000,1357,10.682,20.608000000000000,27.813000000000000,2.9500000000000000,24.512000000000000,0,29491204,0,1,14795916,1.3815140000000000,135.566205
56272.2296272,11.006,0.03100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14816645000182,47.96715,-11.354015000000000,2083,4,56272.233587200000,1359,11.008,21.291000000000000,28.140000000000000,2.4500000000000000,24.686000000000000,0,29491204,0,1,14816645,1.3815140000000000,135.566205
56282.0848572,10.968,0.02300000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14875989000149,47.96715,-11.354030000000000,2083,4,56282.088207200000,1369,10.977,20.732000000000000,28.128000000000000,2.3500000000000000,25.523000000000000,0,29491204,0,1,14875989,1.3815140000000000,135.566205
56257.1606572,11.097,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,15701147000080,47.96712,-11.354034000000000,2083,4,56257.165307200000,1344,11.094,20.203000000000000,28.079000000000000,2.2500000000000000,25.340000000000000,0,29491204,0,1,15701147,1.3815140000000000,135.566205
56257.2018072,11.164,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,15701169000109,47.96714,-11.354048000000000,2083,4,56257.206447200000,1344,11.161,20.487000000000000,28.126000000000000,1.9500000000000000,25.072000000000000,0,29491204,0,1,15701169,1.3815140000000000,135.566205
56204.3259072,11.092,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314605000058,47.96714,-11.354083000000000,2083,4,56204.330307200000,1301,9.611,16.928000000000000,25.451000000000000,2.7500000000000000,18.545000000000000,0,29491204,0,1,14314605,1.3815140000000000,135.566205
56204.3397372,11.206,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314614000060,47.96714,-11.354087000000000,2083,4,56204.344137200000,1301,11.121,17.055000000000000,25.790000000000000,2.7500000000000000,4.073000000000000,0,16908292,0,1,14314614,1.3815140000000000,135.566205
56204.3319772,11.081,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314610000055,47.96715,-11.354088000000000,2083,4,56204.336387200000,1301,9.969,16.898000000000000,25.611000000000000,3.0500000000000000,4.415000000000000,0,29491204,0,1,14314610,1.3815140000000000,135.566205
56204.4505372,11.210,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314708000062,47.96714,-11.354077000000000,2083,4,56204.454947200000,1301,10.785,18.365000000000000,26.819000000000000,2.8500000000000000,19.404000000000000,0,29491204,0,1,14314708,1.3815140000000000,135.566205
56204.3922672,11.175,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314656000059,47.96715,-11.354053000000000,2083,4,56204.396677200000,1301,10.520,18.100000000000000,26.544000000000000,2.7500000000000000,19.463000000000000,0,29491204,0,1,14314656,1.3815140000000000,135.566205
56204.4213472,11.029,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314678000132,47.96714,-11.354034000000000,2083,4,56204.425757200000,1301,9.666,19.115000000000000,26.742000000000000,2.8500000000000000,24.601000000000000,0,29491204,0,1,14314678,1.3815140000000000,135.566205
56239.1850272,10.826,0.02400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14580133000147,47.96715,-11.354058000000000,2083,4,56239.190067200000,1326,10.811,21.079000000000000,28.061000000000000,2.4500000000000000,26.361000000000000,0,29491204,0,1,14580133,1.3815140000000000,135.566205
56204.4812872,11.479,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314731000098,47.96719,-11.354071000000000,2083,4,56204.485697200000,1301,11.973,17.945000000000000,26.755000000000000,3.0500000000000000,4.418000000000000,0,16908292,0,1,14314731,1.3815140000000000,135.566205
56204.5121272,11.334,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314753000053,47.96720,-11.354084000000000,2083,4,56204.516547200000,1301,11.091,17.764000000000000,26.427000000000000,2.8500000000000000,10.628000000000000,0,16908292,0,1,14314753,1.3815140000000000,135.566205
56224.2951172,10.901,0.03800000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14399947000120,47.96712,-11.354072000000000,2083,4,56224.300107200000,1311,10.839,20.625000000000000,28.078000000000000,3.0500000000000000,25.849000000000000,0,29491204,0,1,14399947,1.3815140000000000,135.566205
56227.2587972,11.009,0.02600000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14439356000099,47.96716,-11.354080000000000,2083,4,56227.263827200000,1314,10.964,20.254000000000000,28.079000000000000,2.8500000000000000,25.261000000000000,0,29491204,0,1,14439356,1.3815140000000000,135.566205
56227.2292172,10.981,0.02600000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14439496000089,47.96715,-11.354048000000000,2083,4,56227.234237200000,1314,10.902,19.903000000000000,28.008000000000000,3.3500000000000000,24.553000000000000,0,29491204,0,1,14439496,1.3815140000000000,135.566205
56227.2760072,11.053,0.02600000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14439521000110,47.96710,-11.354024000000000,2083,4,56227.281037200000,1314,11.017,20.435000000000000,28.104000000000000,2.5500000000000000,4.685000000000000,0,29491204,0,1,14439521,1.3815140000000000,135.566205
55485.2864772,10.817,0.13400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,10867529000185,47.96713,-11.354103000000000,2083,4,55485.291297200000,579,10.642,20.902000000000000,27.894000000000000,2.0500000000000000,26.577000000000000,0,29491204,0,1,10867529,1.3815140000000000,135.566205
55457.5193872,10.845,0.07100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,10957414000231,47.96709,-11.354021000000000,2083,4,55457.522937200000,552,10.839,21.512000000000000,28.150000000000000,1.8500000000000000,28.129000000000000,0,29491204,0,1,10957414,1.3815140000000000,135.566205
55468.4828472,11.114,0.18500000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,11078974000191,47.96710,-11.354025000000000,2083,4,55468.487007200000,558,10.928,20.760000000000000,27.927000000000000,2.1500000000000000,23.905000000000000,0,29491204,0,1,11078974,1.3815140000000000,135.566205
55064.4702572,12.483,0.18900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,11886792000143,47.96706,-11.354017000000000,2083,4,55064.471787200000,178,12.338,21.171000000000000,27.623000000000000,2.0500000000000000,27.157000000000000,0,29491204,0,1,11886792,1.3815140000000000,135.566205
