BJD,Magnitude,Uncertainty
2452730.638041,9.988999999999999,0.034
2452733.6843709997,10.205,0.038
2452735.677881,9.951,0.042
2452737.664941,9.837,0.044000000000000004
2452739.655071,9.814,0.032
2452745.57967,9.99,0.037000000000000005
2452750.59572,10.106,0.042
2452751.6916799997,9.873,0.033
2452754.62721,9.892999999999999,0.03
2452756.62654,10.03,0.037000000000000005
2452759.5150200003,9.899,0.059000000000000004
2452761.52209,10.121,0.032
2452763.51787,10.26,0.032
2452766.54141,9.883,0.037000000000000005
2452782.59795,10.052999999999999,0.036000000000000004
2452784.571539,10.158,0.031
2452786.566779,10.26,0.039
2452789.562599,10.117,0.039
2452792.492199,10.061,0.042
2452804.518509,9.896,0.038
2452809.517869,9.941,0.036000000000000004
2452812.4628990004,10.037,0.035
2452814.470199,10.231,0.042
2452819.480299,9.911,0.036000000000000004
2452944.8625580003,9.837,0.039
2452948.864738,10.078,0.055999999999999994
2452957.844148,9.826,0.033
2452963.842788,10.219,0.034
2452967.8393180002,9.945,0.033
2452975.808018,10.092,0.034
2452978.821858,10.232999999999999,0.028999999999999998
2452981.822528,9.901,0.038
2452984.849588,9.911,0.033
2452990.804128,10.224,0.033
2452996.8371180003,9.847000000000001,0.04
2453000.827898,10.146,0.062
2453006.8016580003,9.911,0.045
2453008.828528,9.832,0.032
2453011.786168,9.901,0.031
2453017.814608,10.158999999999999,0.035
2453023.793018,9.861,0.031
2453028.777638,10.219,0.03
2453031.732618,10.285,0.040999999999999995
2453033.769578,9.884,0.03
2453036.719748,9.85,0.04
2453047.707878,9.988999999999999,0.037000000000000005
2453050.684328,9.847000000000001,0.03
2453052.819848,10.244000000000002,0.046
2453055.671978,10.062000000000001,0.038
2453057.724068,10.270999999999999,0.042
2453064.7081279997,9.907,0.048
2453071.681748,10.245,0.046
2453074.567908,10.22,0.071
2453075.7127380003,9.804,0.034
2453079.736438,10.226,0.037000000000000005
2453081.764308,10.107999999999999,0.062
2453085.764128,9.801,0.037000000000000005
2453087.7632279997,9.846,0.04
2453090.569028,10.023,0.04
2453092.597368,9.835,0.031
2453099.5896779997,10.283,0.037000000000000005
2453101.595238,10.068999999999999,0.033
2453103.601908,9.892999999999999,0.052000000000000005
2453105.596708,9.859,0.038
2453107.599078,9.98,0.032
2453109.6042279997,10.182,0.031
2453111.601898,10.25,0.034
2453113.616208,10.019,0.044000000000000004
2453115.631248,9.857000000000001,0.043
2453116.6384880003,9.846,0.031
2453121.600898,10.097000000000001,0.043
2453128.5443680002,10.084,0.034
2453130.559598,9.863,0.035
2453132.571258,9.875,0.033
2453134.585868,10.076,0.036000000000000004
2453142.605458,9.837,0.053
2453146.549888,9.933,0.03
2453163.525268,10.222999999999999,0.033
2453165.537188,10.181000000000001,0.039
2453168.537368,9.896,0.031
2453355.802261,10.195,0.040999999999999995
2453374.839711,10.139,0.065
2453382.808331,9.84,0.057
2453393.7895509996,10.236,0.071
2453404.784842,10.232000000000001,0.049
2453407.701692,10.182,0.073
2453409.740232,10.002,0.065
2453411.814682,9.87,0.079
2453414.681262,9.857999999999999,0.036000000000000004
2453416.722642,10.033,0.038
2453418.744672,10.203,0.055999999999999994
2453426.779612,9.996,0.048
2453431.6391419997,9.915,0.068
2453433.675192,10.214,0.047
2453436.663552,10.158999999999999,0.057999999999999996
2453439.654633,9.88,0.055999999999999994
2453443.6139330002,9.821,0.07200000000000001
2453445.641353,10.292,0.085
2453447.638173,10.2,0.09300000000000001
2453454.618313,9.894,0.09300000000000001
2453456.611853,9.921,0.08900000000000001
2453458.600963,10.044,0.059000000000000004
2453460.6021330003,10.124,0.076
2453462.608553,10.267999999999999,0.063
2453464.640003,9.861,0.075
2453466.651743,9.927,0.05
2453469.646943,9.907,0.073
2453473.646773,10.25,0.044000000000000004
2453476.565953,10.331,0.096
2453481.545063,9.899,0.042
2453483.554823,9.712,0.09
2453487.6248729997,10.272,0.07400000000000001
2453490.638164,9.866,0.063
