     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   3051.66645  9.857  9.856  9.869  9.848  9.851    0.040 0.051 0.043 0.043 0.046  A 91003
   3053.73229 10.075 10.045 10.086 10.072 10.080    0.023 0.037 0.027 0.027 0.031  A 91300
   3055.80182 10.122 10.086 10.124 10.122 10.122    0.025 0.034 0.029 0.029 0.034  A 91600
   3058.65097 10.213 10.195 10.214 10.208 10.205    0.026 0.034 0.034 0.027 0.033  A 91945
   3060.67880 10.098 10.045 10.096 10.096 10.103    0.023 0.046 0.027 0.025 0.029  A 92223
   3071.64559 10.226 10.214 10.236 10.227 10.226    0.028 0.037 0.032 0.033 0.039  A 93630
   3073.69067  9.940  9.955  9.933  9.945  9.953    0.024 0.035 0.030 0.028 0.033  A 93887
   3075.69389  9.833  9.766  9.834  9.830  9.835    0.040 0.043 0.037 0.044 0.049  A 94157
   3077.71516  9.931  9.927  9.901  9.937  9.944    0.024 0.033 0.028 0.028 0.032  A 94446
   3079.72032 10.139 10.115 10.125 10.127 10.129    0.032 0.039 0.034 0.036 0.042  A 94738
   3081.75081 10.255 10.252 10.269 10.254 10.251    0.022 0.033 0.027 0.025 0.028  A 95043
   3085.74739  9.836  9.849  9.833  9.828  9.832    0.028 0.036 0.032 0.032 0.037  A 95336
   3088.54806 10.203 10.225 10.197 10.194 10.185    0.047 0.053 0.047 0.052 0.057  B 95731
   3090.58991  9.876  9.877  9.865  9.878  9.875    0.033 0.040 0.034 0.038 0.043  A 96051
   3092.58562  9.809  9.797  9.814  9.809  9.816    0.024 0.031 0.030 0.026 0.030  A 96358
   3098.57252 10.188 10.199 10.196 10.191 10.191    0.027 0.038 0.031 0.031 0.037  A 96946
   3100.58234 10.214 10.223 10.193 10.208 10.203    0.026 0.033 0.029 0.030 0.035  A 97252
   3102.58922  9.926  9.942  9.920  9.920  9.915    0.026 0.036 0.029 0.029 0.034  A 97571
   3104.59920  9.891  9.893  9.884  9.894  9.893    0.060 0.065 0.059 0.063 0.066  D 97894
   3106.59739  9.880  9.871  9.869  9.882  9.883    0.026 0.034 0.028 0.029 0.034  A 98205
   3108.59936 10.058 10.095 10.063 10.054 10.053    0.024 0.037 0.028 0.026 0.030  A 98523
   3110.59611 10.201 10.173 10.214 10.194 10.193    0.023 0.036 0.027 0.027 0.030  A 98837
   3112.61452 10.172 10.163 10.150 10.172 10.175    0.024 0.037 0.029 0.027 0.031  A 99150
   3114.62295  9.875  9.842  9.883  9.871  9.872    0.023 0.038 0.028 0.026 0.031  A 99485
   3116.63777  9.846  9.832  9.850  9.848  9.856    0.038 0.043 0.041 0.042 0.046  A 99817
   3121.59460 10.099 10.107 10.097 10.095 10.094    0.023 0.033 0.028 0.026 0.031  A 100072
   3125.57304 10.233 10.234 10.238 10.229 10.236    0.025 0.036 0.028 0.030 0.035  A 100691
   3127.60451  9.933  9.944  9.944  9.903  9.843    0.059 0.067 0.057 0.064 0.070  D 101017
   3130.50097 10.018 10.015  9.999 10.026 10.043    0.028 0.034 0.035 0.033 0.037  A 101438
   3132.53043  9.831  9.827  9.818  9.829  9.837    0.024 0.041 0.027 0.028 0.032  A 101780
   3134.55234  9.997  9.994  9.974  9.994  9.994    0.023 0.041 0.029 0.026 0.030  A 102110
   3142.58219  9.826  9.803  9.833  9.825  9.831    0.024 0.035 0.028 0.027 0.029  A 103090
   3146.53781  9.898  9.886  9.906  9.894  9.897    0.022 0.032 0.030 0.025 0.030  A 103481
   3153.55155 10.062 10.036 10.071 10.072 10.075    0.028 0.037 0.029 0.032 0.037  A 103734
   3156.54845  9.863  9.907  9.855  9.870  9.868    0.029 0.043 0.030 0.033 0.037  A 104136
   3160.49874  9.883  9.863  9.849  9.881  9.871    0.028 0.037 0.034 0.031 0.036  A 104646
   3163.51591 10.184 10.176 10.165 10.188 10.195    0.023 0.033 0.030 0.025 0.029  A 104982
   3167.47036 10.250 10.217 10.249 10.252 10.260    0.024 0.046 0.030 0.027 0.031  A 105522
   3171.46377  9.847  9.871  9.848  9.839  9.849    0.024 0.037 0.029 0.028 0.031  A 106127
   3175.46497  9.966  9.971  9.959  9.956  9.955    0.024 0.037 0.028 0.027 0.030  A 106530
   3185.45545  9.834  9.849  9.846  9.834  9.836    0.026 0.040 0.032 0.030 0.035  A 107876
   3188.45919 10.019 10.022 10.038 10.004  9.992    0.101 0.083 0.088 0.123 0.147  D 108359
   3444.54905  9.829  9.841  9.834  9.836  9.835    0.029 0.045 0.030 0.033 0.036  A 133888
   3446.60890 10.058 10.092 10.066 10.051 10.053    0.033 0.070 0.037 0.035 0.039  A 134445
   3481.52167  9.919  9.953  9.927  9.904  9.897    0.031 0.070 0.036 0.035 0.040  A 140137
   3794.71237 10.155 10.155 10.163 10.167 10.182    0.032 0.075 0.038 0.036 0.042  B 179862
   3863.47638  9.896 10.007  9.915  9.897  9.892    0.044 0.087 0.048 0.049 0.056  B 189303
   4257.49347 10.196 10.172 10.243 10.193 10.166    0.030 0.041 0.034 0.034 0.039  A 227368
   4259.51606  9.891  9.903  9.868  9.906  9.916    0.032 0.050 0.036 0.038 0.042  A 227636
   1889.80100 10.194 10.184 10.195 10.200 10.195    0.028 0.052 0.030 0.032 0.038  A 3135
   2068.50690  9.842  9.795  9.837  9.843  9.839    0.027 0.059 0.032 0.029 0.033  A 22020
   2071.46825  9.935  9.941  9.942  9.932  9.927    0.037 0.053 0.038 0.042 0.047  A 22671
   2082.44963  9.848  9.809  9.849  9.849  9.848    0.025 0.060 0.031 0.026 0.030  A 23269
   2087.45232 10.156 10.129 10.155 10.158 10.151    0.028 0.060 0.034 0.029 0.030  A 24189
   2443.45616  9.953  9.958  9.970  9.944  9.938    0.024 0.041 0.034 0.021 0.022  A 8596
   2622.78399  9.873  9.861  9.869  9.866  9.863    0.023 0.031 0.028 0.023 0.024  A 30028
   2624.83984 10.210 10.156 10.217 10.198 10.192    0.024 0.035 0.030 0.024 0.027  A 30337
   2634.85972 10.045 10.033 10.058 10.051 10.044    0.021 0.029 0.027 0.022 0.026  A 32172
   2637.79872 10.114 10.170 10.125 10.112 10.111    0.022 0.033 0.024 0.022 0.024  A 32587
   2639.83786 10.244 10.214 10.249 10.229 10.224    0.021 0.029 0.027 0.020 0.023  A 32912
   2642.79841 10.093 10.076 10.113 10.093 10.085    0.025 0.031 0.032 0.023 0.025  A 33333
   2645.77868  9.888  9.854  9.895  9.879  9.873    0.022 0.033 0.025 0.022 0.023  A 33778
   2649.76792  9.945  9.948  9.941  9.941  9.943    0.021 0.031 0.024 0.022 0.026  A 34181
   2651.75799 10.091 10.096 10.082 10.100 10.103    0.021 0.031 0.023 0.022 0.024  A 34486
   2657.73817 10.054 10.052 10.039 10.052 10.037    0.026 0.033 0.032 0.029 0.030  A 35468
   2661.78944  9.987  9.948  9.981  9.982  9.975    0.022 0.038 0.025 0.022 0.024  A 36174
   2663.77844 10.108 10.120 10.105 10.102 10.104    0.027 0.030 0.033 0.029 0.028  A 36508
   2665.77129 10.235 10.230 10.207 10.226 10.225    0.024 0.032 0.034 0.024 0.025  A 36854
   2667.77098 10.212 10.206 10.216 10.205 10.211    0.026 0.035 0.031 0.033 0.028  A 37160
   2669.77616  9.888  9.899  9.857  9.883  9.892    0.032 0.030 0.041 0.034 0.028  A 37487
   2671.75968  9.800  9.834  9.769  9.787  9.812    0.041 0.035 0.050 0.046 0.035  A 37811
   2673.75603  9.864  9.847  9.866  9.866  9.862    0.024 0.028 0.033 0.024 0.024  A 38142
   2675.74771  9.918  9.961  9.891  9.917  9.934    0.040 0.032 0.050 0.041 0.032  A 38501
   2677.72657 10.049 10.081 10.034 10.045 10.051    0.030 0.030 0.045 0.033 0.027  A 38840
   2681.70494 10.251 10.257 10.250 10.254 10.255    0.021 0.037 0.025 0.020 0.022  A 39485
   2683.70730 99.999 10.058 10.095 99.999 99.999    0.025 0.035 0.028 0.024 0.025  C 39843
   2685.70623  9.898  9.885  9.891  9.891  9.889    0.028 0.035 0.038 0.028 0.029  A 40205
   2688.72254  9.915  9.899  9.926  9.914  9.915    0.026 0.034 0.031 0.030 0.034  A 40759
   2690.71016 10.057 10.066 10.057 10.064 10.069    0.023 0.030 0.024 0.024 0.027  A 41122
   2692.77390 10.213 10.194 10.193 10.219 10.208    0.023 0.043 0.026 0.025 0.029  A 41466
   2694.69980 10.234 10.214 10.238 10.235 10.233    0.021 0.030 0.027 0.021 0.023  A 41791
   2696.71492  9.979  9.954  9.980  9.972  9.967    0.021 0.029 0.023 0.021 0.023  A 42122
   2698.70533  9.887  9.878  9.879  9.882  9.879    0.022 0.030 0.029 0.023 0.025  A 42535
   2700.69332  9.850  9.838  9.856  9.843  9.845    0.116 0.115 0.114 0.117 0.120  D 42917
   2704.67451 10.055 10.059 10.057 10.057 10.057    0.020 0.023 0.022 0.020 0.022  A 43675
   2706.66271 10.183 10.185 10.186 10.183 10.183    0.019 0.027 0.021 0.021 0.024  A 44040
   2710.63663 10.200 10.209 10.204 10.198 10.203    0.030 0.031 0.041 0.027 0.025  A 44748
   2717.59683  9.899  9.882  9.906  9.910  9.896    0.034 0.035 0.045 0.038 0.035  A 45837
   2719.66042 10.231 10.219 10.244 10.226 10.224    0.042 0.054 0.050 0.042 0.043  A 46106
   2721.63070 10.299 10.263 10.300 10.285 10.281    0.026 0.036 0.034 0.024 0.027  A 46479
   2722.76596  9.846  9.872  9.848  9.842  9.838    0.024 0.038 0.025 0.027 0.030  A 46732
   2726.65018  9.845  9.838  9.857  9.850  9.852    0.021 0.033 0.028 0.021 0.023  A 47467
   2728.64142  9.870  9.881  9.850  9.876  9.875    0.023 0.033 0.030 0.024 0.026  A 47858
   2730.63732 10.011  9.989 10.010 10.009 10.002    0.023 0.034 0.036 0.023 0.023  A 48265
   2733.68365 10.220 10.205 10.212 10.219 10.220    0.022 0.038 0.028 0.023 0.026  A 48639
   2735.67716  9.971  9.951  9.949  9.971  9.969    0.026 0.042 0.044 0.027 0.027  A 49042
   2737.66422  9.873  9.837  9.875  9.873  9.875    0.032 0.044 0.055 0.030 0.028  B 49433
   2739.65435  9.863  9.814  9.887  9.852  9.845    0.025 0.032 0.032 0.023 0.025  A 49764
   2745.57895 10.016  9.990 10.038 10.026 10.026    0.035 0.037 0.039 0.037 0.041  A 50904
   2750.59500 10.079 10.106 10.054 10.086 10.089    0.029 0.042 0.040 0.028 0.025  A 51615
   2751.69096  9.876  9.873  9.879  9.878  9.877    0.021 0.033 0.025 0.022 0.025  A 51850
   2754.62649  9.896  9.893  9.894  9.904  9.901    0.021 0.030 0.025 0.021 0.024  A 52238
   2756.62582 10.056 10.030 10.060 10.053 10.051    0.021 0.037 0.024 0.021 0.024  A 52650
   2759.51430  9.961  9.899  9.968  9.970  9.968    0.054 0.059 0.052 0.062 0.072  D 53166
   2761.52137 10.147 10.121 10.147 10.146 10.150    0.022 0.032 0.027 0.022 0.024  A 53580
   2763.51715 10.265 10.260 10.250 10.268 10.266    0.021 0.032 0.026 0.020 0.022  A 53974
   2766.54069  9.910  9.883  9.893  9.926  9.932    0.023 0.037 0.031 0.023 0.025  A 54483
   2782.59723 10.054 10.053 10.039 10.053 10.050    0.021 0.036 0.024 0.022 0.024  A 55698
   2784.57082 10.135 10.158 10.131 10.141 10.143    0.021 0.031 0.026 0.022 0.024  A 56114
   2786.56606 10.243 10.260 10.249 10.248 10.254    0.021 0.039 0.025 0.022 0.025  A 56538
   2789.56188 10.112 10.117 10.120 10.115 10.116    0.027 0.039 0.030 0.029 0.032  A 57076
   2792.49148 10.095 10.061 10.070 10.118 10.122    0.025 0.042 0.032 0.024 0.026  A 57659
   2804.51779  9.968  9.896  9.955  9.975  9.978    0.028 0.038 0.032 0.031 0.036  A 58995
   2809.51715  9.954  9.941  9.932  9.956  9.953    0.021 0.036 0.027 0.022 0.024  A 59455
   2812.46218 10.033 10.037 10.011 10.037 10.038    0.022 0.035 0.029 0.022 0.024  A 60110
   2814.46948 10.218 10.231 10.207 10.221 10.225    0.028 0.042 0.034 0.030 0.032  A 60575
   2819.47958  9.893  9.911  9.892  9.889  9.897    0.023 0.036 0.030 0.024 0.026  A 61234
   2944.86184  9.844  9.837  9.853  9.841  9.845    0.033 0.039 0.036 0.037 0.043  A 78624
   2948.86402 10.095 10.078 10.108 10.102 10.108    0.053 0.056 0.056 0.054 0.057  B 79207
   2957.84343  9.850  9.826  9.844  9.844  9.839    0.026 0.033 0.028 0.030 0.035  A 80459
   2963.84207 10.224 10.219 10.228 10.219 10.220    0.024 0.034 0.028 0.026 0.029  A 81280
   2967.83860  9.954  9.945  9.964  9.955  9.954    0.024 0.033 0.027 0.025 0.028  A 81849
   2975.80730 10.115 10.092 10.116 10.121 10.119    0.022 0.034 0.025 0.024 0.027  A 82784
   2978.82114 10.248 10.233 10.266 10.254 10.259    0.021 0.029 0.025 0.022 0.024  A 83200
   2981.82181  9.893  9.901  9.883  9.899  9.893    0.027 0.038 0.030 0.029 0.034  A 83585
   2984.84887  9.935  9.911  9.942  9.932  9.934    0.025 0.033 0.032 0.026 0.030  A 83986
   2990.80341 10.230 10.224 10.259 10.210 10.193    0.025 0.033 0.028 0.028 0.031  A 84707
   2996.83640  9.875  9.847  9.861  9.876  9.870    0.024 0.040 0.030 0.024 0.027  A 85523
   3000.82718 10.166 10.146 10.190 10.153 10.159    0.023 0.062 0.030 0.023 0.025  A 85927
   3006.80094  9.958  9.911  9.969  9.961  9.961    0.035 0.045 0.036 0.042 0.052  A 86649
   3008.82781  9.834  9.832  9.831  9.831  9.830    0.024 0.032 0.032 0.026 0.031  A 86917
   3011.78545  9.887  9.901  9.870  9.882  9.887    0.025 0.031 0.032 0.028 0.031  A 87303
   3017.81389 10.152 10.159 10.152 10.158 10.154    0.022 0.035 0.027 0.024 0.027  A 87942
   3023.79230  9.885  9.861  9.890  9.889  9.889    0.024 0.031 0.031 0.024 0.027  A 88353
   3028.77692 10.239 10.219 10.258 10.240 10.240    0.021 0.030 0.029 0.022 0.024  A 88593
   3031.73190 10.268 10.285 10.276 10.275 10.282    0.025 0.041 0.031 0.027 0.031  A 88870
   3033.76886  9.888  9.884  9.887  9.888  9.892    0.021 0.030 0.030 0.022 0.025  A 89071
   3036.71903  9.853  9.850  9.858  9.846  9.839    0.029 0.040 0.033 0.030 0.032  A 89388
   3047.70716 10.007  9.989  9.985 10.020 10.009    0.024 0.037 0.028 0.026 0.030  A 90487
   3050.68361  9.852  9.847  9.841  9.851  9.853    0.022 0.030 0.029 0.023 0.026  A 90877
   3052.81913 10.252 10.244 10.252 10.252 10.255    0.064 0.046 0.063 0.063 0.062  D 91194
   3055.67126 10.050 10.062 10.032 10.052 10.057    0.030 0.038 0.035 0.032 0.035  A 91555
   3057.72335 10.263 10.271 10.252 10.269 10.270    0.032 0.042 0.031 0.035 0.038  A 91847
   3064.70741  9.891  9.907  9.880  9.887  9.885    0.026 0.048 0.029 0.027 0.031  A 92772
   3071.68103 10.257 10.245 10.241 10.280 10.268    0.041 0.046 0.039 0.047 0.055  A 93640
   3074.56719 10.210 10.220 10.226 10.210 10.200    0.071 0.071 0.066 0.073 0.077  D 93963
   3075.71202  9.825  9.804  9.827  9.831  9.831    0.028 0.034 0.031 0.032 0.039  A 94164
   3079.73572 10.196 10.226 10.187 10.200 10.205    0.025 0.037 0.030 0.026 0.028  A 94743
   3081.76359 10.154 10.108 10.160 10.161 10.163    0.048 0.062 0.049 0.049 0.050  B 95047
   3085.76341  9.822  9.801  9.818  9.829  9.817    0.038 0.037 0.040 0.042 0.048  A 95341
   3087.76251  9.879  9.846  9.880  9.885  9.881    0.033 0.040 0.035 0.034 0.038  A 95650
   3090.56831 10.007 10.023  9.999 10.004 10.002    0.031 0.040 0.033 0.035 0.039  A 96043
   3092.59665  9.836  9.835  9.824  9.830  9.833    0.022 0.031 0.029 0.023 0.025  A 96361
   3099.58896 10.265 10.283 10.271 10.265 10.265    0.026 0.037 0.030 0.028 0.032  A 97107
   3101.59452 10.095 10.069 10.114 10.099 10.091    0.023 0.033 0.027 0.027 0.031  A 97413
   3103.60119  9.902  9.893  9.886  9.905  9.911    0.043 0.052 0.042 0.044 0.046  A 97731
   3105.59599  9.860  9.859  9.868  9.866  9.857    0.032 0.038 0.033 0.035 0.038  A 98048
   3107.59836  9.987  9.980  9.986  9.983  9.980    0.021 0.032 0.027 0.022 0.024  A 98365
   3109.60351 10.188 10.182 10.150 10.189 10.183    0.022 0.031 0.030 0.023 0.025  A 98677
   3111.60118 10.249 10.250 10.282 10.252 10.246    0.021 0.034 0.026 0.023 0.024  A 98989
   3113.61549 10.054 10.019 10.021 10.055 10.054    0.024 0.044 0.029 0.024 0.027  A 99315
   3115.63053  9.816  9.857  9.815  9.816  9.827    0.023 0.043 0.027 0.024 0.027  A 99652
   3116.63777  9.864  9.846  9.863  9.868  9.869    0.022 0.031 0.030 0.023 0.026  A 99817
   3121.60018 10.113 10.097 10.103 10.124 10.127    0.034 0.043 0.036 0.037 0.040  A 100073
   3128.54365 10.099 10.084 10.109 10.095 10.085    0.026 0.034 0.029 0.028 0.033  A 101163
   3130.55888  9.865  9.863  9.839  9.855  9.846    0.025 0.035 0.028 0.027 0.031  A 101459
   3132.57054  9.880  9.875  9.899  9.878  9.881    0.023 0.033 0.028 0.024 0.028  A 101795
   3134.58515 10.081 10.076 10.069 10.074 10.079    0.023 0.036 0.028 0.024 0.027  A 102122
   3142.60474  9.842  9.837  9.862  9.840  9.844    0.041 0.053 0.041 0.043 0.046  A 103098
   3146.54917  9.949  9.933  9.948  9.945  9.941    0.021 0.030 0.028 0.022 0.025  A 103485
   3163.52455 10.225 10.223 10.239 10.230 10.234    0.021 0.033 0.029 0.022 0.024  A 104985
   3165.53647 10.202 10.181 10.188 10.210 10.213    0.025 0.039 0.030 0.026 0.029  A 105333
   3168.53665  9.876  9.896  9.865  9.875  9.870    0.022 0.031 0.026 0.024 0.028  A 105722
   3355.80154 10.230 10.195 10.229 10.232 10.232    0.027 0.041 0.029 0.028 0.032  A 124407
   3374.83899 10.072 10.139 10.081 10.060 10.061    0.041 0.065 0.043 0.047 0.054  A 125436
   3382.80761  9.878  9.840  9.877  9.883  9.874    0.042 0.057 0.042 0.046 0.050  A 125685
   3393.78883 10.224 10.236 10.231 10.216 10.217    0.048 0.071 0.051 0.050 0.053  B 127050
   3404.78412 10.261 10.232 10.256 10.255 99.999    0.029 0.049 0.032 0.030 0.034  C 128459
   3407.70097 10.202 10.182 10.207 10.204 10.206    0.038 0.073 0.046 0.037 0.041  A 128900
   3409.73951 10.035 10.002 10.024 10.041 10.045    0.030 0.065 0.033 0.031 0.035  A 129223
   3411.81396  9.892  9.870  9.887  9.887  9.884    0.036 0.079 0.047 0.036 0.039  A 129545
   3414.68054  9.850  9.858  9.852  9.849  9.847    0.023 0.036 0.025 0.024 0.028  A 129958
   3416.72192 10.014 10.033 10.009 10.017 10.012    0.029 0.038 0.030 0.032 0.037  A 130297
   3418.74395 10.246 10.203 10.231 10.246 10.243    0.033 0.056 0.038 0.036 0.039  A 130614
   3426.77889  9.972  9.996  9.981  9.970  9.966    0.029 0.048 0.031 0.032 0.036  A 131893
   3431.63842  9.941  9.915  9.942  9.939  9.936    0.030 0.068 0.034 0.032 0.036  A 132358
   3433.67447 10.280 10.214 10.258 10.292 10.330    0.054 0.047 0.048 0.065 0.079  D 132694
   3436.66283 10.189 10.159 10.184 10.193 10.189    0.029 0.058 0.031 0.031 0.037  A 132994
   3439.65391  9.902  9.880  9.910  9.905  9.903    0.025 0.056 0.030 0.025 0.028  A 133332
   3443.61321  9.862  9.821  9.852  9.853  9.850    0.032 0.072 0.052 0.026 0.029  B 133736
   3445.64063 10.161 10.292 10.209 10.136 10.129    0.044 0.085 0.054 0.043 0.046  B 134102
   3447.63745 10.236 10.200 10.220 10.244 10.241    0.038 0.093 0.044 0.039 0.041  B 134738
   3454.61759  9.894  9.894  9.910  9.881  9.884    0.042 0.093 0.047 0.044 0.048  B 135815
   3456.61113  9.864  9.921  9.870  9.858  9.857    0.036 0.089 0.043 0.037 0.040  B 136166
   3458.60024  9.996 10.044 10.010  9.991  9.989    0.027 0.059 0.030 0.029 0.031  A 136517
   3460.60141 10.158 10.124 10.155 10.170 10.158    0.029 0.076 0.035 0.031 0.035  A 136884
   3462.60783 10.263 10.268 10.266 10.268 10.266    0.033 0.063 0.040 0.035 0.039  A 137158
   3464.63928  9.904  9.861  9.896  9.916  9.923    0.035 0.075 0.043 0.036 0.038  A 137492
   3466.65102  9.850  9.927  9.856  9.844  9.842    0.024 0.050 0.028 0.025 0.029  A 137833
   3469.64622 10.000  9.907  9.987 10.004 10.002    0.028 0.073 0.035 0.029 0.032  A 138252
   3473.64605 10.260 10.250 10.259 10.261 10.254    0.028 0.044 0.033 0.028 0.032  A 138880
   3476.56523 10.282 10.331 10.291 10.284 10.275    0.041 0.096 0.047 0.041 0.045  B 139350
   3481.54434  9.884  9.899  9.891  9.872  9.866    0.026 0.042 0.030 0.027 0.030  A 140145
   3483.55410  9.853  9.712  9.833  9.860  9.857    0.052 0.090 0.058 0.057 0.063  D 140466
   3487.62415 10.261 10.272 10.252 10.265 10.262    0.077 0.074 0.074 0.089 0.103  D 140771
   3490.63744  9.862  9.866  9.865  9.864  9.856    0.036 0.063 0.041 0.038 0.041  A 141137
   3492.63560  9.867  9.865  9.865  9.866  9.865    0.034 0.066 0.040 0.035 0.038  A 141477
   3496.63797 10.153 10.149 10.161 10.151 10.156    0.026 0.043 0.033 0.026 0.029  A 141755
   3499.64098 10.215 10.283 10.228 10.215 10.212    0.043 0.082 0.042 0.044 0.045  B 142115
   3502.49640 10.198 10.227 10.214 10.189 10.183    0.030 0.082 0.037 0.030 0.033  B 142581
   3512.54878 10.153 10.205 10.160 10.155 10.157    0.028 0.061 0.035 0.031 0.035  A 143831
   3520.54116  9.815  9.839  9.820  9.804  9.804    0.029 0.041 0.031 0.031 0.035  A 144639
   3522.55860  9.942  9.902  9.931  9.939  9.934    0.040 0.066 0.043 0.043 0.048  A 144995
