BJD,Magnitude,Uncertainty
2456620.821799951,9.73,0.002
2456620.8232799033,9.735,0.002
2456620.8247498567,9.735,0.002
2456620.826239809,9.738,0.002
2456620.827719762,9.743,0.002
2456620.829199715,9.738,0.002
2456620.830669668,9.753,0.002
2456994.645201258,10.164,0.017
2456994.645831232,10.116,0.017
2456994.646461204,10.124,0.027000000000000003
2456994.647081178,10.061,0.036000000000000004
2456994.647711151,10.106,0.031
2456994.648341123,10.177999999999999,0.026000000000000002
2456994.648971097,10.136000000000001,0.024
2456994.6496010693,10.158999999999999,0.02
2456994.650241042,10.133,0.017
2456994.650871015,10.138,0.017
2456994.651500987,10.133,0.019
2456994.65214096,10.132,0.02
2456994.652770933,10.097000000000001,0.024
2456994.653400906,10.052999999999999,0.024
2456994.654040879,10.118,0.027000000000000003
2456994.654680851,10.164,0.03
2456994.655310824,10.132,0.027000000000000003
2456994.655950796,10.135,0.024
2456994.656590769,10.097000000000001,0.025
2456994.657230741,10.101,0.022000000000000002
2456994.657870714,10.126,0.023
2456994.6585006868,10.095,0.022000000000000002
2456994.659140659,10.1,0.021
2456994.659780632,10.106,0.023
2456994.660410604,10.068999999999999,0.027999999999999997
2456994.6610505767,10.103,0.035
2456994.661690549,10.038,0.037000000000000005
2456994.6623305217,10.084,0.04
2456994.662960494,10.021,0.033
2456994.6636004667,10.084,0.027999999999999997
2456994.664240439,10.082,0.032
2456994.664870413,10.123,0.03
2456994.665500385,10.106,0.028999999999999998
2456994.666140357,10.065,0.028999999999999998
2456994.666770331,10.095,0.035
2456994.667410303,10.095,0.038
2456994.668050275,10.12,0.028999999999999998
2456994.668690247,10.037,0.028999999999999998
2456994.669320221,10.107999999999999,0.033
2456994.6699601933,10.127,0.040999999999999995
2456994.670600165,10.051,0.039
2456994.6712401384,10.126,0.035
2456994.67188011,10.116,0.039
2456994.6725100833,10.091000000000001,0.046
2456994.673150055,10.122,0.048
2456994.673790027,10.071,0.05
2456994.67443,10.05,0.055999999999999994
2456994.6750599733,10.01,0.052000000000000005
2456994.675699945,10.105,0.054000000000000006
2456994.676339917,10.078,0.040999999999999995
2456994.67696989,9.993,0.044000000000000004
2456994.677599863,9.969,0.06
2456994.678239835,10.029,0.055
2456994.678859808,10.021,0.057
2456994.679479782,10.061,0.042
2456994.680109755,10.033999999999999,0.043
2456994.680729728,10.036,0.040999999999999995
2456994.6813597,9.993,0.048
2456994.681989674,10.007,0.046
2456994.682609647,10.005,0.048
2456994.683289617,9.976,0.048
2456994.68390959,10.122,0.036000000000000004
2456994.684539563,10.029,0.031
2456994.685169536,10.027000000000001,0.037000000000000005
2456994.6857995084,10.017000000000001,0.036000000000000004
2456994.686419481,10.064,0.038
2456994.687049454,10.073,0.04
2456994.687669428,10.05,0.036000000000000004
2456994.6882994,10.029,0.027000000000000003
2456994.688929373,10.007,0.028999999999999998
2456994.689559346,9.996,0.025
2456994.690179319,9.992,0.027000000000000003
2456994.690809292,10.026,0.024
2456994.691439264,10.044,0.027000000000000003
2456994.692059237,9.966000000000001,0.033
2456994.69268921,10.029,0.037000000000000005
2456994.6933191833,10.037,0.025
2456994.693949155,9.997,0.027000000000000003
2456994.694569129,9.88,0.043
2456994.6951991008,9.92,0.042
2456994.695829074,9.924,0.033
2456994.696459047,9.954,0.038
2456994.69707902,10.007,0.026000000000000002
2456994.697708992,9.979,0.022000000000000002
2456994.698338965,9.926,0.025
2456994.698968938,10.025,0.059000000000000004
2456994.699588911,9.777000000000001,0.125
2456994.7002188833,9.952,0.086
2456994.700838856,9.748,0.109
2456994.701468829,9.854,0.046
2456994.7020888017,9.872,0.061
2456994.702718775,10.014,0.083
2456994.703348747,9.91,0.07
