BJD,Magnitude,Uncertainty
2456572.355028331,10.894,0.006999999999999999
2456572.3554183133,10.888,0.006999999999999999
2456572.355818294,10.890999999999998,0.006999999999999999
2456572.356208276,10.890999999999998,0.006999999999999999
2456572.356598257,10.884,0.006999999999999999
2456572.356998239,10.894,0.006999999999999999
2456572.35738822,10.892999999999999,0.006999999999999999
2456572.357778202,10.899000000000001,0.006999999999999999
2456572.358178183,10.89,0.006999999999999999
2456572.3585981634,10.895999999999999,0.006999999999999999
2456572.358998145,10.895,0.006999999999999999
2456572.359388126,10.905,0.006999999999999999
2456572.359788108,10.889000000000001,0.006999999999999999
2456572.360188089,10.887,0.006999999999999999
2456572.36057807,10.886,0.006999999999999999
2456572.360978052,10.9,0.006999999999999999
2456572.361368034,10.901,0.006999999999999999
2456572.361758015,10.897,0.006999999999999999
2456572.362157996,10.892000000000001,0.006999999999999999
2456572.3625479783,10.901,0.006999999999999999
2456572.36293796,10.894,0.006999999999999999
2456572.363337941,10.895,0.006999999999999999
2456572.363917914,10.897,0.006999999999999999
2456572.364307896,10.9,0.006999999999999999
2456572.3647378758,10.892999999999999,0.006999999999999999
2456572.365137856,10.905999999999999,0.006999999999999999
2456572.365537838,10.907,0.006999999999999999
2456572.36592782,10.905,0.006999999999999999
2456572.3663178007,10.895,0.006999999999999999
2456572.3667177833,10.895999999999999,0.006999999999999999
2456572.367107764,10.909,0.006999999999999999
2456572.367507746,10.905,0.006999999999999999
2456572.367897727,10.913,0.006999999999999999
2456572.368287709,10.914000000000001,0.006999999999999999
2456572.36869769,10.91,0.006999999999999999
2456572.369087671,10.909,0.006999999999999999
2456572.369477653,10.915,0.006999999999999999
2456572.369877635,10.911,0.006999999999999999
2456572.370267617,10.908,0.006999999999999999
2456572.370657598,10.907,0.006999999999999999
2456572.371077578,10.914000000000001,0.006999999999999999
2456572.3714875593,10.917,0.006999999999999999
2456572.37187754,10.92,0.006999999999999999
2456572.372267522,10.913,0.006999999999999999
2456572.372667504,10.909,0.006999999999999999
2456572.373057486,10.91,0.006999999999999999
2456572.373447467,10.917,0.006999999999999999
2456572.3738474483,10.915,0.006999999999999999
