     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   3017.63672  9.838  9.815  9.801  9.843  9.845    0.037 0.043 0.041 0.031 0.032  A 87874
   3019.62974  9.824  9.860  9.808  9.828  9.830    0.035 0.041 0.040 0.030 0.031  A 88137
   3036.55699  9.799  9.786  9.804  9.806  9.799    0.063 0.058 0.058 0.058 0.062  D 89343
   3040.55844  9.907  9.930  9.889  9.911  9.914    0.038 0.041 0.041 0.032 0.034  A 89588
   3043.57140  9.752  9.717  9.761  9.763  9.758    0.041 0.045 0.044 0.035 0.039  A 89904
   3046.56178  9.061  9.091  9.048  9.058  9.063    0.037 0.043 0.039 0.031 0.032  A 90308
   3049.55348  9.824  9.816  9.793  9.827  9.833    0.037 0.040 0.041 0.032 0.033  A 90697
   3052.54210  9.451  9.454  9.458  9.455  9.458    0.042 0.050 0.044 0.037 0.039  A 91101
   3055.53666  9.977  9.982  9.947  9.964  9.979    0.050 0.048 0.046 0.042 0.048  B 91510
   3068.50288  9.770  9.797  9.779  9.786  9.776    0.042 0.043 0.042 0.036 0.039  A 93146
   3269.78952  9.940  9.958  9.943  9.946  9.940    0.035 0.043 0.044 0.032 0.029  A 115693
   3271.77472  9.791  9.774  9.798  9.796  9.797    0.036 0.034 0.039 0.031 0.031  A 115982
   3273.83272  9.119  9.085  9.131  9.123  9.127    0.036 0.045 0.038 0.030 0.031  A 116263
   3276.78398  9.853  9.876  9.816  9.839  9.863    0.043 0.047 0.040 0.036 0.041  A 116614
   3281.80695  9.578  9.592  9.579  9.580  9.582    0.040 0.045 0.039 0.035 0.036  A 117242
   3294.76610  9.405  9.426  9.408  9.414  9.411    0.036 0.060 0.048 0.033 0.030  A 118426
   3296.80965  9.607  9.616  9.593  9.614  9.612    0.038 0.057 0.047 0.034 0.035  A 118721
   3321.69415  9.825  9.757  9.812  9.826  9.832    0.045 0.096 0.052 0.043 0.045  B 120803
   3326.67747  9.470  9.528  9.478  9.477  9.480    0.047 0.095 0.052 0.043 0.046  B 121117
   3357.59224  9.866  9.897  9.858  9.864  9.873    0.040 0.073 0.041 0.035 0.039  B 124575
