MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1118012012816,12.20,0.05,34.01554,17.53301,53993.45767,0
1118012012816,12.26,0.05,34.01552,17.53303,54437.27014,0
1118012012816,12.28,0.05,34.01553,17.53300,54437.27869,0
1118012012816,12.24,0.05,34.01550,17.53299,54437.28726,0
1118012012816,12.28,0.05,34.01552,17.53304,54437.29584,0
1118012012816,12.32,0.05,34.01551,17.53300,54464.19698,0
1118012012816,12.37,0.05,34.01552,17.53298,54464.20236,0
1118012012816,12.24,0.05,34.01553,17.53301,54464.20773,0
1118012012816,12.28,0.05,34.01550,17.53299,54464.21308,0
1118012012816,12.27,0.05,34.01553,17.53300,54140.09094,0
1118012012816,12.24,0.05,34.01553,17.53302,54140.09736,0
1118012012816,12.20,0.05,34.01555,17.53303,54140.10379,0
1118012012816,12.20,0.05,34.01552,17.53301,54140.11022,0
1118012012816,12.08,0.05,34.01553,17.53303,54110.14632,0
1118012012816,12.10,0.05,34.01553,17.53303,54110.15330,0
1118012012816,12.14,0.05,34.01551,17.53302,54110.16031,0
1118012012816,12.19,0.05,34.01552,17.53301,54110.16731,0
1118012012816,12.13,0.05,34.01552,17.53301,54116.21161,0
1118012012816,12.12,0.05,34.01556,17.53302,54116.21821,0
1118012012816,12.12,0.05,34.01560,17.53303,54116.22493,0
1118012012816,12.16,0.05,34.01552,17.53302,54116.23175,0
1118012012816,12.44,0.05,34.01556,17.53306,54130.16216,0
1118012012816,12.41,0.05,34.01558,17.53303,54130.16713,0
1118012012816,12.36,0.05,34.01556,17.53304,54130.17209,0
1118012012816,12.32,0.05,34.01558,17.53304,54130.17701,0
1118012012816,12.40,0.05,34.01549,17.53300,54381.33476,0
1118012012816,12.37,0.05,34.01552,17.53299,54381.34752,0
1118012012816,12.44,0.05,34.01548,17.53298,54381.36024,0
1118012012816,12.27,0.05,34.01553,17.53297,54381.37300,0
1118012012816,12.43,0.05,34.01551,17.53300,54393.32851,0
1118012012816,12.46,0.05,34.01550,17.53299,54393.33610,0
1118012012816,12.44,0.05,34.01551,17.53298,54393.34375,0
1118012012816,12.46,0.05,34.01551,17.53300,54393.35138,0
1118012012816,12.33,0.05,34.01550,17.53296,54403.34932,0
1118012012816,12.26,0.05,34.01552,17.53297,54403.35936,0
1118012012816,12.21,0.05,34.01550,17.53297,54403.36941,0
1118012012816,12.24,0.05,34.01554,17.53296,54403.37944,0
1118012012816,12.45,0.05,34.01548,17.53301,54353.34586,0
1118012012816,12.37,0.05,34.01549,17.53299,54353.35470,0
1118012012816,12.39,0.05,34.01547,17.53299,54353.36356,0
1118012012816,12.41,0.05,34.01547,17.53298,54353.37245,0
1118012012816,12.24,0.05,34.01551,17.53299,54820.17794,0
1118012012816,12.32,0.05,34.01555,17.53300,54502.10359,0
1118012012816,12.28,0.05,34.01552,17.53301,54502.10798,0
1118012012816,12.33,0.05,34.01554,17.53302,54502.11240,0
1118012012816,12.33,0.05,34.01554,17.53302,54502.11680,0
1118012012816,12.28,0.05,34.01558,17.53302,54523.10354,0
1118012012816,12.24,0.05,34.01558,17.53302,54523.10839,0
1118012012816,12.17,0.05,34.01556,17.53300,54523.11327,0
1118012012816,12.14,0.05,34.01558,17.53301,54523.11809,0
1118012012816,12.07,0.05,34.01554,17.53300,54495.13080,0
1118012012816,12.02,0.05,34.01555,17.53301,54495.13761,0
1118012012816,12.02,0.05,34.01554,17.53302,54495.14443,0
1118012012816,11.87,0.05,34.01554,17.53301,54495.15127,0
1118012012816,12.09,0.05,34.01545,17.53300,54648.44571,0
1118012012816,12.10,0.05,34.01548,17.53300,54648.44869,0
1118012012816,12.09,0.05,34.01543,17.53300,54648.45165,0
1118012012816,12.07,0.05,34.01545,17.53297,54648.45460,0
