JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453806.51399,11.207,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51512,11.194,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51624,11.209,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51734,11.214,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51845,11.201,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.51957,11.199,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52071,11.190,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52183,11.189,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52292,11.187,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52402,11.196,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52512,11.171,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52626,11.176,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52734,11.181,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52846,11.203,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.52953,11.188,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53066,11.183,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53178,11.172,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53288,11.188,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53398,11.183,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53508,11.178,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53620,11.196,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53733,11.193,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53840,11.183,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.53951,11.209,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54061,11.194,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54174,11.208,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54286,11.197,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54404,11.213,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54514,11.206,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54628,11.205,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54744,11.214,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54858,11.210,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.54970,11.211,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55079,11.211,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55186,11.222,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55293,11.235,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55407,11.230,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55523,11.226,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55634,11.233,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55749,11.230,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55861,11.247,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.55970,11.240,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56080,11.252,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56188,11.242,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56300,11.256,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56414,11.249,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56524,11.259,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56634,11.272,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56747,11.272,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56860,11.285,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.56972,11.258,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57084,11.292,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57192,11.258,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57306,11.289,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57418,11.293,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57530,11.291,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57639,11.287,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57751,11.301,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57861,11.293,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.57971,11.311,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58082,11.315,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58196,11.323,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58309,11.340,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58421,11.332,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58536,11.315,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58646,11.343,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58758,11.347,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58870,11.349,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.58983,11.354,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59095,11.349,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59211,11.371,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59321,11.362,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59427,11.387,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59535,11.382,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59642,11.370,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59755,11.371,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59862,11.379,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.59977,11.403,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60084,11.388,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60192,11.421,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60304,11.401,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60414,11.414,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60527,11.412,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60640,11.428,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60749,11.427,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60861,11.432,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.60973,11.437,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61083,11.443,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61193,11.440,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61313,11.463,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61419,11.410,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61525,11.463,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61641,11.472,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61753,11.456,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61866,11.479,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.61981,11.475,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62089,11.472,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62201,11.466,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62315,11.500,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62422,11.488,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62532,11.527,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62641,11.492,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62757,11.505,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62870,11.503,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.62985,11.510,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63097,11.521,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63204,11.521,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
