MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1129055037278,11.39,0.05,172.45057,30.06716,54866.39860,0
1129055037278,11.74,0.05,172.45028,30.06707,54884.29709,0
1129055037278,11.59,0.05,172.45050,30.06736,54884.30261,0
1129055037278,11.54,0.05,172.45053,30.06706,54884.30805,0
1129055037278,11.61,0.05,172.45051,30.06703,54884.31357,0
1129055037278,11.80,0.05,172.45056,30.06778,54860.38319,0
1129055037278,11.65,0.05,172.45065,30.06726,54860.38803,0
1129055037278,11.52,0.05,172.45067,30.06704,54860.39288,0
1129055037278,11.76,0.05,172.45052,30.06735,54860.39773,0
1129055037278,10.92,0.05,172.45122,30.06829,54892.32862,0
1129055037278,10.68,0.05,172.45125,30.06855,54892.33535,0
1129055037278,10.82,0.05,172.45149,30.06922,54892.34211,0
1129055037278,11.75,0.05,172.45026,30.06716,54909.27617,0
1129055037278,13.39,0.05,172.45102,30.06996,54909.27617,1
1129055037278,11.48,0.05,172.45037,30.06757,54909.28378,0
1129055037278,11.54,0.05,172.45045,30.06696,54909.29135,0
1129055037278,11.26,0.05,172.45014,30.06690,54909.29893,0
1129055037278,11.14,0.05,172.45046,30.06705,54918.18442,0
1129055037278,11.66,0.05,172.45039,30.06761,54918.18931,0
1129055037278,11.07,0.05,172.45052,30.06703,54918.19417,0
1129055037278,11.49,0.05,172.45031,30.06692,54918.19892,0
1129055037278,11.05,0.05,172.45133,30.06876,54977.20953,0
1129055037278,11.15,0.05,172.45146,30.06903,54977.22542,0
1129055037278,11.50,0.05,172.45033,30.06699,55143.49979,0
1129055037278,11.62,0.05,172.45030,30.06776,55143.50416,0
1129055037278,11.10,0.05,172.45044,30.06725,55143.51280,0
1129055037278,10.87,0.05,172.45124,30.06831,55302.18163,0
1129055037278,12.17,0.05,172.45043,30.06720,55244.36092,0
1129055037278,11.32,0.05,172.45126,30.06911,55244.36745,0
1129055037278,12.39,0.05,172.45041,30.06736,55244.37413,0
1129055037278,12.47,0.05,172.45042,30.06740,55211.43131,0
1129055037278,11.02,0.05,172.45118,30.06846,55211.43887,0
1129055037278,11.19,0.05,172.45127,30.06950,55361.21821,0
1129055037278,12.31,0.05,172.45047,30.06712,55361.22731,0
1129055037278,10.98,0.05,172.45128,30.06939,55361.23188,0
1129055037278,11.72,0.05,172.45026,30.06750,55259.47730,0
1129055037278,11.80,0.05,172.45026,30.06791,55259.48103,0
1129055037278,11.39,0.05,172.45037,30.06791,55259.48478,0
1129055037278,11.64,0.05,172.45032,30.06809,55259.48852,0
1129055037278,11.94,0.05,172.45036,30.06703,55269.21289,0
1129055037278,12.03,0.05,172.45029,30.06750,55269.22066,0
1129055037278,12.28,0.05,172.45041,30.06731,55269.22843,0
1129055037278,12.01,0.05,172.45035,30.06780,55269.23625,0
1129055037278,11.55,0.05,172.45035,30.06811,55276.25917,0
1129055037278,11.74,0.05,172.45045,30.06709,55276.26797,0
1129055037278,11.74,0.05,172.45037,30.06730,55276.27684,0
1129055037278,11.69,0.05,172.45073,30.06684,55327.28761,0
1129055037278,12.12,0.05,172.45070,30.06759,55327.30200,0
1129055037278,11.01,0.05,172.45110,30.06856,55327.30969,0
1129055037278,12.88,0.05,172.45067,30.06709,55341.26731,0
1129055037278,12.73,0.05,172.45041,30.06722,55341.27423,0
1129055037278,12.13,0.05,172.45041,30.06734,55341.28003,0
1129055037278,11.91,0.05,172.45047,30.06770,55341.28585,0
1129055037278,10.91,0.05,172.45132,30.06923,55618.31794,0
1129055037278,10.97,0.05,172.45131,30.06963,55618.32540,0
1129055037278,11.65,0.05,172.45068,30.06706,55618.33292,0
1129055037278,12.55,0.05,172.45360,30.06905,55618.33292,1
1129055037278,12.04,0.05,172.45035,30.06752,55618.34037,0
1129055037278,10.80,0.05,172.45059,30.06702,55577.38475,0
1129055037278,11.17,0.05,172.45064,30.06718,55577.39209,0
1129055037278,10.41,0.05,172.45094,30.06826,55577.39932,0
1129055037278,10.48,0.05,172.45140,30.06995,55725.19184,0
1129055037278,11.14,0.05,172.45066,30.06713,55725.19785,0
1129055037278,10.52,0.05,172.45121,30.06925,55725.20387,0
1129055037278,10.43,0.05,172.45136,30.06956,55725.20992,0
1129055037278,10.82,0.05,172.45136,30.06916,55646.35625,0
1129055037278,11.04,0.05,172.45127,30.06934,55646.36374,0
1129055037278,12.26,0.05,172.45029,30.06747,55646.37131,0
1129055037278,11.08,0.05,172.45138,30.06938,55646.37889,0
1129055037278,10.90,0.05,172.45123,30.06914,55684.25533,0
1129055037278,10.94,0.05,172.45131,30.06919,55684.26391,0
1129055037278,12.13,0.05,172.45045,30.06732,55684.27258,0
1129055037278,12.30,0.05,172.45050,30.06696,54806.44834,0
1129055037278,11.37,0.05,172.45205,30.07010,54806.44834,1
1129055037278,11.96,0.05,172.45053,30.06754,54806.45472,0
1129055037278,11.61,0.05,172.45068,30.06687,54806.46120,0
1129055037278,11.29,0.05,172.45069,30.06696,54806.46764,0
1129055037278,11.39,0.05,172.45089,30.06714,54641.20276,0
1129055037278,11.74,0.05,172.45074,30.06779,54532.46842,0
1129055037278,11.59,0.05,172.45060,30.06713,54532.47591,0
1129055037278,11.95,0.05,172.45049,30.06799,54532.48339,0
1129055037278,11.86,0.05,172.45061,30.06750,54532.49090,0
1129055037278,12.40,0.05,172.44980,30.06786,55259.49473,0
1129055037278,10.37,0.05,172.45061,30.06783,55862.49303,0
1129055037278,10.91,0.05,172.45104,30.06836,55862.49754,0
1129055037278,12.02,0.05,172.45063,30.06775,55862.50210,0
1129055037278,12.30,0.05,172.45180,30.06985,55862.50210,1
1129055037278,12.57,0.05,172.45009,30.06770,55881.46975,0
