JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457374.3975,12.179,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3986,12.180,0.046,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.3997,12.190,0.036,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.4007,12.177,0.036,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.4018,12.170,0.032,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2457374.4029,12.175,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2459506.664169,12.331,0.025,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.911,Z,,12.066,,RW ARI,AAVSO,STD,,,,
2459506.665697,12.358,0.017,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.887,Z,,12.073,,RW ARI,AAVSO,STD,,,,
2459506.667307,12.363,0.007,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.862,Z,,12.077,,RW ARI,AAVSO,STD,,,,
2459506.668871,12.364,0.019,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.839,Z,,12.075,,RW ARI,AAVSO,STD,,,,
2459506.670421,12.353,0.024,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.816,Z,,12.065,,RW ARI,AAVSO,STD,,,,
2459506.671957,12.377,0.027,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.795,Z,,12.050,,RW ARI,AAVSO,STD,,,,
2459506.673546,12.374,0.027,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.773,Z,,12.071,,RW ARI,AAVSO,STD,,,,
2459506.675073,12.376,0.016,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.753,Z,,12.056,,RW ARI,AAVSO,STD,,,,
2459506.676700,12.394,0.022,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.732,Z,,12.066,,RW ARI,AAVSO,STD,,,,
2459506.678317,12.394,0.020,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.711,Z,,12.069,,RW ARI,AAVSO,STD,,,,
2459506.679919,12.397,0.026,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.692,Z,,12.073,,RW ARI,AAVSO,STD,,,,
2459506.681563,12.414,0.019,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.673,Z,,12.068,,RW ARI,AAVSO,STD,,,,
2459506.683480,12.412,0.023,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.651,Z,,12.057,,RW ARI,AAVSO,STD,,,,
2459506.685092,12.419,0.025,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.633,Z,,12.064,,RW ARI,AAVSO,STD,,,,
2459506.686802,12.419,0.033,,CV,WAB,,ENSEMBLE,APS:4189:1227,X27276D,APASS V: CK 12.301,0,1.614,Z,,12.071,,RW ARI,AAVSO,STD,,,,
